monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
GROUP,2024-03-27,14:49:22,None,SHAPE2,1,100,163,101,47,78,1
GROUP,2024-03-27,14:49:35,None,SHAPE2,2,100,134,84,46,81,1
GROUP,2024-03-27,14:53:29,None,SHAPE2,1,100,124,75,73,87,1
GROUP,2024-03-27,14:53:44,None,SHAPE2,1,100,115,66,104,78,1
GROUP,2024-03-27,14:53:53,None,SHAPE2,2,100,104,0,82,91,0
GROUP,2024-03-27,14:54:07,None,SHAPE2,1,100,59,61,102,92,0
GROUP,2024-03-27,14:54:23,None,SHAPE2,1,100,123,63,82,85,1
GROUP,2024-03-27,14:54:33,None,SHAPE2,2,100,110,45,95,92,0
GROUP,2024-03-27,15:12:53,None,SHAPE2,1,100,425,64,303,255,0
GROUP,2024-03-27,15:13:06,None,SHAPE2,1,100,462,143,268,161,0
GROUP,2024-03-27,15:16:11,None,SHAPE2,1,100,141,218,272,149,0
GROUP,2024-03-27,15:16:25,None,SHAPE2,1,100,181,168,267,160,0
GROUP,2024-03-27,15:16:44,None,SHAPE2,1,100,296,121,186,227,0
GROUP,2024-03-27,15:20:28,None,SHAPE2,1,100,365,56,96,283,0
GROUP,2024-03-27,15:20:29,None,SHAPE2,1,100,254,161,202,190,1
GROUP,2024-03-27,15:20:38,None,SHAPE2,2,100,204,76,262,267,0
GROUP,2024-03-27,15:20:52,None,SHAPE2,1,100,94,291,304,112,0
GROUP,2024-03-27,15:21:08,None,SHAPE2,1,100,334,140,116,193,0
GROUP,2024-03-27,15:21:21,None,SHAPE2,1,100,339,153,116,193,0
GROUP,2024-03-27,15:22:14,None,SHAPE2,1,100,304,158,167,159,0
GROUP,2024-03-27,15:22:38,None,SHAPE2,1,100,108,119,325,208,0
GROUP,2024-03-27,15:27:17,None,SHAPE2,1,100,102,213,285,107,0
GROUP,2024-03-27,15:27:39,None,SHAPE2,1,100,408,182,93,167,0
GROUP,2024-03-27,15:27:52,None,SHAPE2,1,100,233,46,277,276,0
GROUP,2024-03-27,15:28:07,None,SHAPE2,1,100,415,170,134,159,0
GROUP,2024-03-27,15:33:52,None,SHAPE2,1,100,59,106,135,209,0
GROUP,2024-03-27,15:34:06,None,SHAPE2,1,100,23,63,162,248,0
GROUP,2024-03-27,15:48:59,None,SHAPE2,1,100,116,69,94,92,1
