monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
TestChip,2024-03-22,13:06:41,None,SHAPE2,1,50,159,36,57,129,0
TestChip,2024-03-22,13:06:46,None,SHAPE2,2,50,187,16,44,123,0
TestChip,2024-03-22,13:06:51,None,SHAPE2,3,50,161,70,56,111,0
TestChip,2024-03-22,13:06:56,None,SHAPE2,4,50,121,34,85,127,0
TestChip,2024-03-22,13:07:01,None,SHAPE2,5,50,161,38,50,138,0
TestChip,2024-03-22,13:07:07,None,SHAPE2,6,50,127,34,79,124,0
TestChip,2024-03-22,13:07:46,None,SHAPE2,1,50,26,55,160,84,0
TestChip,2024-03-22,13:07:51,None,SHAPE2,2,50,159,56,74,100,0
TestChip,2024-03-22,13:07:56,None,SHAPE2,3,50,161,43,62,128,0
TestChip,2024-03-22,13:08:00,None,SHAPE2,4,50,75,83,149,106,0
TestChip,2024-03-22,13:08:05,None,SHAPE2,5,50,167,29,47,121,0
TestChip,2024-03-22,13:08:10,None,SHAPE2,6,50,159,70,58,83,0
TestChip,2024-03-22,13:08:14,None,SHAPE2,7,50,170,69,45,78,0
TestChip,2024-03-22,13:08:19,None,SHAPE2,8,50,89,69,130,81,0
TestChip,2024-03-22,13:08:23,None,SHAPE2,9,50,173,52,55,111,0
TestChip,2024-03-22,13:08:28,None,SHAPE2,10,50,152,69,84,102,0
