Subject,Sex,DOB,Left Wrist,Right Wrist,Room,PiSystem,task-order,ITI,Timeout,SHAPE1_to_decrement,SHAPE1_to_increment,SHAPE1trials,SHAPE1criterion,SHAPE2size,SHAPE2_zones,SHAPE2trials,SHAPE2criterion,2choicesize,2choicereset,2choiceproblems,2choicetrials,2choicecorrect,MTSsize,MTStrials,MTScriterion,MTSseqsize,MTSseqtrials,MTSseqcriterion
H049,F,5/31/1999,989001040450491,989001040450193,507.01,103,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
H055,F,6/3/1999,989001040452575,989001040454104,507.01,103,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
H033,F,5/24/1999,989001040450302,989001040448586,507.01,103,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J860,M,5/23/1997,989001040449144,982092062453171,507.01,103,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J989,F,4/28/1999,982091062453548,982091062453248,507.01,103,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
3-183,F,7/25/2003,989001040452877,989001040452708,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
4-238,M,10/14/2004,989001040450034,982091062453872,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
5-113,F,6/16/2005,989001040452751,989001040452833,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
7-225,F,9/25/2007,989001040448686,989001040453884,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J719,F,3/23/1997,982091062453493,982091062453944,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
J939,F,6/13/1998,989001040452818,989001040452985,507.02,102,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
4-148,M,6/17/2004,989001040450413,982091062450997,507.03,105,SHAPE1-SHAPE2-TwoChoice-MTS-MTSseq1-MTSseq3-MTSseq5,5000,15000,3,3,100,85,200,TRUE,100,85,200,60,100,10,8,200,100,85,200,30,26
